|---------------------------------------------------------------------------------------------------------|-----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| title                                                                                                   | date      | url                                                                                                                                                               | description                                                                                                                                                                                                                                                                                                  |
|---------------------------------------------------------------------------------------------------------|-----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Trump announces 25% tariff on India and unspecified penalties for buying Russian energy                 | 7/30/2025 | https://apnews.com/article/trump-tariffs-russia-india-9e388a55583e7007149819c52f0fd71b                                                                            | President Donald Trump says he’ll impose a 25% tariff on goods from India, plus an additional import tax because of India’s purchasing of Russian oil.                                                                                                                                                       |
|---------------------------------------------------------------------------------------------------------|-----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Trump announces 25% tariff on India and unspecified penalties for buying Russian energy                 | 7/30/2025 | https://apnews.com/article/trump-tariffs-russia-india-9e388a55583e7007149819c52f0fd71b                                                                            | President Donald Trump says he’ll impose a 25% tariff on goods from India, plus an additional import tax because of India’s purchasing of Russian oil.                                                                                                                                                       |
|---------------------------------------------------------------------------------------------------------|-----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| The Grateful Dead toasts its 60th with concerts at San Francisco’s Golden Gate Park                     | 7/30/2025 | https://apnews.com/article/grateful-dead-60th-anniversary-san-francisco-a607472bd5a08bec5d9409ea6f6b0a4d                                                          | Tens of thousands of Deadheads are pouring into San Francisco for three days of Dead & Company concerts in honor of the Grateful Dead’s 60th anniversary.                                                                                                                                                    |
|---------------------------------------------------------------------------------------------------------|-----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| The Grateful Dead toasts its 60th with concerts at San Francisco’s Golden Gate Park                     | 7/30/2025 | https://apnews.com/article/grateful-dead-60th-anniversary-san-francisco-a607472bd5a08bec5d9409ea6f6b0a4d                                                          | Tens of thousands of Deadheads are pouring into San Francisco for three days of Dead & Company concerts in honor of the Grateful Dead’s 60th anniversary.                                                                                                                                                    |
|---------------------------------------------------------------------------------------------------------|-----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Scores of Palestinians risk their lives to retrieve air dropped aid from the sea                        | 7/30/2025 | https://apnews.com/video/scores-of-palestinians-risk-their-lives-to-retrieve-air-dropped-aid-from-the-sea-8e9ea0a8ea1b4b9b8cc4ffcf8671fbb1                        | Scores of Palestinians risk their lives to retrieve air dropped aid from the sea                                                                                                                                                                                                                             |
|---------------------------------------------------------------------------------------------------------|-----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
